City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
arman,59.7,150.17,24.19,94.0,56.0,9.53
hasaki,35.73,140.83,58.78,32.0,20.0,3.36
kuytun,54.34,101.5,36.95,77.0,100.0,9.15
kamaishi,39.27,141.88,50.0,43.0,75.0,2.24
kribi,2.95,9.92,75.61,88.0,100.0,5.3
kulhudhuffushi,6.62,73.07,84.69,66.0,25.0,5.93
aksu,41.12,80.26,61.21,18.0,63.0,6.15
gazojak,41.19,61.4,55.67,36.0,7.0,5.46
antsohihy,-14.88,47.99,75.96,73.0,0.0,8.84
padang,-0.95,100.35,88.34,58.0,69.0,0.63
doha,25.29,51.53,89.67,24.0,100.0,19.46
barguzin,53.62,109.62,55.69,36.0,0.0,1.59
luderitz,-26.65,15.16,55.4,82.0,0.0,2.24
imbituba,-28.24,-48.67,64.4,63.0,4.0,6.93
coquimbo,-29.95,-71.34,60.8,67.0,77.0,4.7
okhotsk,59.38,143.3,31.78,93.0,60.0,4.63
taksimo,56.34,114.88,41.77,59.0,67.0,2.1
ambilobe,-13.2,49.05,72.52,84.0,20.0,5.26
puerto baquerizo moreno,-0.9,-89.6,79.43,86.0,100.0,2.59
sao jose de ribamar,-2.56,-44.05,77.0,94.0,75.0,9.17
ust-kulom,61.69,53.69,28.27,96.0,94.0,6.38
raichur,16.2,77.37,85.14,37.0,0.0,5.79
denpasar,-8.65,115.22,86.0,89.0,20.0,4.7
mbanza-ngungu,-5.25,14.87,67.68,82.0,100.0,1.63
duku,11.24,4.91,81.52,29.0,26.0,6.51
bintulu,3.17,113.03,82.2,88.0,75.0,3.36
hofn,64.25,-15.21,42.57,88.0,100.0,10.65
cleburne,32.35,-97.39,62.96,63.0,1.0,8.05
mehnagar,25.88,83.12,75.2,53.0,0.0,2.24
cabedelo,-6.98,-34.83,78.8,94.0,20.0,3.36
byron bay,-28.65,153.62,81.28,48.0,40.0,13.87
skhisma,35.27,25.72,58.87,62.0,0.0,4.7
horta,38.53,-28.63,61.34,72.0,96.0,4.92
lagos,6.58,3.75,80.6,88.0,20.0,4.29
tondi,9.73,79.02,86.09,60.0,4.0,9.75
romny,50.75,33.47,36.32,75.0,0.0,8.88
salaga,8.55,-0.52,78.57,65.0,90.0,1.48
roma,43.21,-75.46,36.57,74.0,90.0,12.75
belle glade,26.68,-80.67,74.28,100.0,90.0,3.36
drexel heights,32.14,-111.03,67.98,13.0,1.0,12.75
sikeston,36.88,-89.59,47.98,53.0,1.0,3.36
merrill,45.18,-89.68,35.08,51.0,1.0,4.7
kaeo,-35.1,173.78,68.5,66.0,18.0,7.0
mount isa,-20.73,139.5,86.0,16.0,57.0,14.99
goundam,16.41,-3.67,81.48,19.0,0.0,5.19
zhanakorgan,43.91,67.25,52.12,39.0,66.0,3.98
saint-gaudens,43.08,0.67,48.78,93.0,40.0,5.82
howard springs,-12.5,131.05,80.55,78.0,75.0,10.29
port lincoln,-34.73,135.87,62.37,63.0,70.0,15.9
oituz,46.2,26.62,37.2,59.0,96.0,2.24
la rioja,42.25,-2.5,51.73,93.0,90.0,6.93
conceicao do araguaia,-8.26,-49.26,75.49,85.0,61.0,0.74
college,64.86,-147.8,34.11,74.0,90.0,9.17
sampit,-2.53,112.95,91.18,56.0,86.0,2.71
hervey bay,-25.3,152.85,84.07,61.0,40.0,8.05
saint-pierre,-21.34,55.48,69.75,73.0,20.0,8.05
chabahar,25.29,60.64,79.52,64.0,100.0,1.43
nemuro,43.32,145.57,35.6,55.0,40.0,10.29
puerto colombia,10.99,-74.95,80.6,88.0,75.0,17.22
uyuni,-20.46,-66.83,46.38,12.0,0.0,13.4
nsanje,-16.92,35.26,66.31,92.0,34.0,1.57
deputatskiy,69.3,139.9,22.64,89.0,18.0,22.44
rocha,-34.48,-54.33,56.73,89.0,12.0,1.59
bathsheba,13.22,-59.52,78.8,78.0,40.0,11.41
loughton,52.03,-0.79,48.74,81.0,100.0,5.82
karasuk,53.74,78.04,38.57,74.0,95.0,7.54
mamallapuram,12.63,80.17,83.17,88.0,40.0,3.36
orotukan,62.27,151.7,24.6,84.0,53.0,3.33
port hedland,-20.32,118.57,93.2,24.0,0.0,6.93
tessalit,20.2,1.01,78.96,14.0,40.0,7.61
ancud,-41.87,-73.82,42.8,100.0,39.0,1.12
dunedin,-45.87,170.5,57.99,76.0,0.0,13.0
shemordan,56.19,50.4,41.56,70.0,100.0,10.36
yichun,47.7,128.9,47.3,43.0,54.0,6.26
freire,-38.95,-72.63,55.24,100.0,90.0,2.24
rena,61.13,11.36,30.0,72.0,4.0,5.99
marovoay,-16.1,46.63,75.2,69.0,40.0,4.7
benicarlo,40.42,0.43,50.47,89.0,100.0,1.01
basavana bagevadi,16.58,75.97,87.13,28.0,56.0,10.83
sabang,5.89,95.32,84.7,74.0,37.0,12.62
bar-le-duc,48.75,5.17,47.64,81.0,2.0,2.24
latung,5.5,120.88,82.98,67.0,84.0,3.36
jiaojiang,28.68,121.44,63.21,94.0,100.0,3.22
berlevag,70.86,29.09,27.68,89.0,100.0,19.46
gomel,52.43,30.98,30.2,80.0,20.0,8.95
hof,50.32,11.92,37.51,100.0,1.0,3.49
kalaleh,37.38,55.49,48.2,93.0,90.0,6.93
chicama,-7.84,-79.15,75.74,70.0,98.0,6.33
kitob,39.08,66.83,63.91,44.0,100.0,2.91
barra do corda,-5.5,-45.25,74.52,91.0,67.0,2.35
humaita,-7.51,-63.02,75.29,92.0,61.0,1.9
cafarnaum,-11.69,-41.47,70.45,72.0,100.0,4.94
isangel,-19.55,169.27,80.6,74.0,75.0,4.7
broome,42.25,-75.83,33.85,69.0,75.0,14.99
panguna,-6.32,155.48,77.58,74.0,73.0,3.18
santa isabel do rio negro,-0.41,-65.02,74.01,97.0,65.0,0.85
paamiut,61.99,-49.67,36.19,79.0,100.0,2.44
cockburn town,21.46,-71.14,78.75,74.0,68.0,4.07
coihaique,-45.58,-72.07,44.6,87.0,90.0,5.82
rio grande,-32.03,-52.1,63.73,80.0,0.0,7.31
baoning,25.34,110.03,59.0,100.0,75.0,15.66
hoa binh,20.81,105.34,77.0,78.0,75.0,4.7
gejiu,23.31,103.16,66.45,38.0,100.0,4.92
mehamn,71.04,27.85,26.74,89.0,99.0,14.81
mogadishu,2.04,45.34,83.37,71.0,0.0,7.56
alice springs,-23.7,133.88,80.6,18.0,16.0,10.29
hegang,47.4,130.37,47.23,43.0,16.0,9.22
vao,-22.67,167.48,74.26,73.0,99.0,9.98
